City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
299,kandahar,31.0,65.75,36.24,12,5,8.97,AF,1690614329
300,faya-largeau,17.9257,19.1043,26.94,34,0,0.0,TD,1690614031
301,kourou,5.1552,-52.6478,23.03,95,100,2.37,GF,1690614032
302,hohhot,40.8106,111.6522,29.16,48,0,2.0,CN,1690614033
303,maragogi,-9.0122,-35.2225,22.72,90,83,2.42,BR,1690614034
304,kalmunai,7.4167,81.8167,35.91,40,5,5.01,LK,1690614035
305,valentin gomez farias,28.2167,-106.5833,20.23,36,0,1.27,MX,1690614035
306,kaihua,23.3687,104.28,26.77,65,100,3.87,CN,1690614036
307,sao francisco do sul,-26.2433,-48.6381,13.55,97,100,0.51,BR,1690614036
308,bacalar,18.6667,-88.3833,24.75,98,100,1.16,MX,1690614037
309,ust-nera,64.5667,143.2,16.7,53,100,2.82,RU,1690614037
310,bakchar,57.0186,82.0711,26.18,45,100,1.12,RU,1690614038
311,mansa,29.9833,75.3833,36.41,45,6,2.26,IN,1690614038
312,lodwar,3.1191,35.5973,29.14,45,20,3.67,KE,1690614039
313,ascension,30.2169,-90.9001,26.72,92,0,0.0,US,1690614039
314,teruel,40.6667,-0.6667,20.58,62,0,2.92,ES,1690614040
315,iquitos,-3.7481,-73.2472,23.02,94,100,1.54,PE,1690614040
316,pandan,14.0453,124.1694,29.42,75,100,4.48,PH,1690614041
317,morada nova,-5.1067,-38.3725,21.49,81,67,1.83,BR,1690614042
318,la passe,45.5549,-0.8967,20.13,82,100,5.17,FR,1690614042
319,vesele,47.0148,34.915,22.41,43,100,4.56,UA,1690614043
320,fiditi,7.7136,3.9172,22.56,96,100,1.79,NG,1690614043
321,ambalavao,-21.8333,46.9333,17.51,51,0,2.06,MG,1690614043
322,winnemucca,40.973,-117.7357,24.03,16,0,2.57,US,1690614044
323,waingapu,-9.6567,120.2641,25.16,80,8,8.71,ID,1690614044
324,mount pearl,47.5166,-52.7813,15.19,87,0,2.06,CA,1690614045
325,afaahiti,-17.75,-149.2833,21.93,86,89,10.72,PF,1690614045
326,kangal,39.2335,37.3911,19.58,36,0,2.68,TR,1690614046
327,vilyuysk,63.7553,121.6247,25.93,28,1,3.28,RU,1690614046
328,pierre,44.3683,-100.351,19.6,81,87,4.92,US,1690614047
329,linxia chengguanzhen,35.6003,103.2064,28.72,28,0,1.73,CN,1690614047
330,inarajan village,13.2736,144.7484,30.08,87,82,1.92,GU,1690614048
331,carnarvon,-24.8667,113.6333,17.84,60,0,6.93,AU,1690614048
332,sosnovo-ozerskoye,52.5249,111.5418,27.68,40,30,1.49,RU,1690614049
333,chikwawa,-16.0335,34.8009,26.37,37,47,1.18,MW,1690614049
334,puerto san jose,13.9256,-90.8244,25.51,95,100,1.87,GT,1690614050
335,kasamwa,-2.85,32.4333,25.86,40,87,3.31,TZ,1690614050
336,nizhnesortymskiy,62.4397,71.7603,23.31,59,88,4.27,RU,1690614051
337,beau vallon,-20.4189,57.6953,25.68,69,40,5.14,MU,1690614051
338,kem',64.9555,34.5793,18.28,61,14,6.12,RU,1690614052
339,port-vila,-17.7338,168.3219,21.78,68,20,5.14,VU,1690614052
340,sitia,35.2,26.0986,29.99,69,0,8.05,GR,1690614053
341,georgetown,5.4112,100.3354,33.3,70,40,4.12,MY,1690613765
342,brive-la-gaillarde,45.25,1.5,19.35,59,63,0.09,FR,1690614054
343,salym,60.0625,71.4789,22.1,69,100,2.96,RU,1690614054
344,cut off,29.5427,-90.3381,27.22,83,1,0.94,US,1690614054
345,sampit,-2.5333,112.95,33.22,38,9,2.75,ID,1690614055
346,constantia,44.1833,28.65,24.38,27,0,2.29,RO,1690614055
347,veinticinco de mayo,-35.4323,-60.1727,6.66,91,71,1.79,AR,1690614056
348,genhe,50.7833,121.5167,22.59,73,22,2.82,CN,1690614057
349,caconda,-13.7333,15.0667,18.23,52,100,1.23,AO,1690614057
350,kiunga,-6.1219,141.2906,25.76,96,99,1.0,PG,1690614057
351,tchintabaraden,15.8969,5.7985,31.26,46,25,7.06,NE,1690614058
352,itaituba,-4.2761,-55.9836,25.79,49,100,0.6,BR,1690614059
353,as sulayyil,20.4607,45.5779,38.14,9,15,3.92,SA,1690614059
354,bodaybo,57.8506,114.1933,25.99,66,100,1.87,RU,1690614060
355,aksuat,48.7167,83.7,25.44,38,4,1.89,KZ,1690614060
356,dakhla,23.6848,-15.958,20.01,83,0,11.32,EH,1690614061
357,tomatlan,19.9333,-105.25,23.5,93,76,1.34,MX,1690614061
358,vernon,50.2581,-119.2691,22.2,43,52,3.09,CA,1690614059
359,yazman,29.1212,71.7446,37.78,43,10,5.89,PK,1690614062
360,porto torres,40.835,8.3972,23.1,54,0,1.97,IT,1690614063
361,bandundu,-3.3167,17.3667,25.97,61,5,2.97,CD,1690614068
362,hotan,37.0997,79.9269,25.33,47,100,9.59,CN,1690614071
363,conduaga,8.862,117.4893,30.46,64,99,4.71,PH,1690614074
364,bahia de caraquez,-0.6,-80.4167,25.1,86,100,2.74,EC,1690614075
365,gadzhiyevo,69.2551,33.3362,15.58,81,100,4.23,RU,1690614075
366,luena,-11.7833,19.9167,16.1,48,0,2.57,AO,1690614076
367,nagqu,31.5,92.0,16.11,34,72,1.68,CN,1690614076
368,brookings,44.3114,-96.7984,18.39,88,0,1.54,US,1690613853
369,frontera,26.9333,-101.45,27.72,53,2,2.24,MX,1690614077
370,tagiura,32.8817,13.3506,32.85,40,0,1.88,LY,1690614077
371,kodinsk,58.6881,99.1844,30.35,30,31,2.29,RU,1690614078
372,gotse delchev,41.5667,23.7333,25.65,39,0,0.65,BG,1690614078
373,port douglas,-16.4833,145.4667,22.67,80,46,6.28,AU,1690614079
374,borzya,50.3833,116.5167,27.85,36,18,4.67,RU,1690614079
375,vila franca do campo,37.7167,-25.4333,21.23,88,60,3.02,PT,1690614080
376,kabul,34.5,69.4167,28.49,20,0,2.0,AF,1690614080
377,kavaratti,10.5669,72.642,28.33,77,14,7.41,IN,1690614081
378,cradock,-32.1642,25.6192,12.97,57,97,3.09,ZA,1690614081
379,nemuro,43.3236,145.575,20.34,87,100,3.17,JP,1690614081
380,paide,58.8856,25.5572,17.09,72,41,3.84,EE,1690614082
381,homer,59.6425,-151.5483,15.45,84,100,2.68,US,1690614082
382,khandyga,62.6667,135.6,25.66,26,97,1.77,RU,1690614083
383,saint-joseph,-21.3667,55.6167,24.15,63,16,4.71,RE,1690614083
384,fort mcmurray,56.7268,-111.381,13.77,82,0,3.6,CA,1690614084
385,roma,43.2128,-75.4557,23.26,94,0,1.54,US,1690614084
386,ljusdal,61.8288,16.0913,15.28,72,100,2.61,SE,1690614085
387,zlynka,52.4267,31.7378,20.02,61,8,2.64,RU,1690614085
388,andalgala,-27.5819,-66.3165,12.37,42,4,0.75,AR,1690614086
389,broken hill,-31.95,141.4333,19.45,37,0,3.44,AU,1690614067
390,burang,30.25,81.1667,12.82,77,100,3.79,CN,1690614087
391,midvagur,62.0511,-7.1939,13.46,88,100,9.77,FO,1690614088
